,Unnamed: 0,no,age,gender,education,country,ethnicity,Nscore,Escore,Oscore,AScore,Cscore,Alcohol,value,freq
1,1,1140,25-34,M,5,USA,White,0.52135,-1.23177,0.44585,-3.15735,-0.52745,Used in Last Day,1,6
20,20,457,35-44,M,7,UK,White,1.60383,-0.43999,0.29338,-2.21844,-0.65253,Used in Last Day,1,6
22,22,1209,18-24,M,6,USA,Other,0.13606,0.00332,0.7233,-2.21844,1.46191,Used in Last Day,1,6
24,24,1432,18-24,F,5,USA,White,1.23461,1.11406,-0.58331,-2.21844,-0.65253,Used in Last Day,1,6
29,29,417,18-24,M,4,UK,White,-0.58016,-1.09207,-0.58331,-2.07848,2.63199,Used in Last Day,1,6
31,31,603,18-24,M,5,USA,White,0.52135,-1.6334,-1.11902,-2.07848,0.58489,Used in Last Day,1,6
38,38,19,55-64,M,7,Australia,White,1.37297,-0.15487,-0.17779,-1.92595,-1.5184,Used in Last Day,1,6
40,40,71,25-34,M,5,UK,White,-0.34799,-0.30033,0.14143,-1.92595,-0.27607,Used in Last Day,1,6
44,44,813,45-54,F,7,USA,White,1.23461,1.74091,0.88309,-1.92595,-1.64101,Used in Last Day,1,6
48,48,1022,18-24,M,7,USA,White,0.13606,-0.94779,1.06238,-1.92595,0.7583,Used in Last Day,1,6
49,49,1054,18-24,M,4,Canada,White,1.23461,-0.57545,-1.55521,-1.92595,-2.04506,Used in Last Day,1,6
59,59,461,18-24,F,7,UK,White,1.23461,-1.37639,1.24033,-1.772,0.25953,Used in Last Day,1,6
60,60,478,35-44,M,7,UK,White,1.72012,-0.94779,0.58331,-1.772,-0.40581,Used in Last Day,1,6
63,63,572,35-44,F,6,Australia,White,0.22393,1.11406,-1.11902,-1.772,-0.40581,Used in Last Day,1,6
64,64,806,18-24,F,7,Canada,White,1.98437,-1.50796,1.43533,-1.772,0.41594,Used in Last Day,1,6
70,70,1367,18-24,F,2,Canada,White,0.13606,-0.30033,-0.01928,-1.772,-2.18109,Used in Last Day,1,6
72,72,1490,25-34,F,5,USA,White,-0.46725,-0.43999,-0.17779,-1.772,-1.25773,Used in Last Day,1,6
73,73,1509,18-24,F,7,UK,White,1.02119,-0.69509,0.88309,-1.772,-0.40581,Used in Last Day,1,6
74,74,1555,18-24,M,5,UK,White,-0.05188,-2.32338,-0.84732,-1.772,-0.40581,Used in Last Day,1,6
76,76,1881,18-24,M,3,USA,White,1.49158,-1.92173,-0.58331,-1.772,0.58489,Used in Last Day,1,6
78,78,3,35-44,M,6,UK,White,-0.46725,0.80523,-0.84732,-1.6209,-1.0145,Used in Last Day,1,6
81,81,79,35-44,M,5,UK,White,-0.79151,-0.80615,-2.09015,-1.6209,-2.18109,Used in Last Day,1,6
82,82,96,45-54,M,8,UK,White,-0.46725,0.32197,1.06238,-1.6209,1.13407,Used in Last Day,1,6
84,84,518,35-44,F,2,UK,White,-0.14882,0.16767,-0.71727,-1.6209,0.25953,Used in Last Day,1,6
86,86,592,35-44,F,7,UK,White,0.41667,-0.43999,-0.31776,-1.6209,1.63088,Used in Last Day,1,6
87,87,615,25-34,F,8,UK,White,1.98437,-0.30033,-0.31776,-1.6209,-0.65253,Used in Last Day,1,6
88,88,648,18-24,M,5,USA,White,-1.43907,1.45421,1.06238,-1.6209,0.93949,Used in Last Day,1,6
91,91,866,18-24,M,5,Republic of Ireland,White,1.60383,-0.57545,-0.17779,-1.6209,-0.65253,Used in Last Day,1,6
94,94,1018,25-34,M,5,USA,White,0.31287,-2.5383,-0.84732,-1.6209,-2.57309,Used in Last Day,1,6
105,105,31,45-54,M,2,UK,White,0.31287,-0.80615,-1.27553,-1.47955,-0.65253,Used in Last Day,1,6
109,109,397,35-44,M,7,UK,White,0.22393,1.2861,-0.45174,-1.47955,-0.78155,Used in Last Day,1,6
110,110,399,45-54,M,6,UK,White,0.13606,0.47617,-0.84732,-1.47955,0.41594,Used in Last Day,1,6
112,112,691,55-64,M,5,UK,White,0.41667,-0.69509,-1.42424,-1.47955,-0.14277,Used in Last Day,1,6
114,114,735,18-24,M,5,UK,White,0.73545,1.11406,1.43533,-1.47955,-1.78169,Used in Last Day,1,6
115,115,737,25-34,M,7,UK,White,-0.46725,-1.7625,-2.8595,-1.47955,-1.13788,Used in Last Day,1,6
117,117,970,18-24,M,5,USA,Black,-1.55078,1.2861,1.06238,-1.47955,0.93949,Used in Last Day,1,6
121,121,1223,18-24,F,4,USA,White,1.02119,-0.30033,0.14143,-1.47955,-0.65253,Used in Last Day,1,6
123,123,1314,18-24,F,5,USA,White,-1.32828,2.32338,-2.39883,-1.47955,-1.38502,Used in Last Day,1,6
127,127,1529,18-24,F,7,UK,White,-1.86962,1.93886,0.58331,-1.47955,0.12331,Used in Last Day,1,6
131,131,1690,35-44,M,5,USA,White,1.02119,-1.50796,-0.84732,-1.47955,-0.00665,Used in Last Day,1,6
136,136,103,45-54,M,4,UK,White,-0.58016,1.2861,1.43533,-1.34289,-0.00665,Used in Last Day,1,6
141,141,377,65+,M,6,UK,White,0.13606,0.16767,0.29338,-1.34289,1.46191,Used in Last Day,1,6
143,143,400,25-34,F,8,UK,White,-0.79151,0.32197,0.29338,-1.34289,0.93949,Used in Last Day,1,6
149,149,664,25-34,F,9,UK,White,1.23461,-1.23177,-0.31776,-1.34289,-1.38502,Used in Last Day,1,6
150,150,782,35-44,M,6,USA,White,1.02119,-0.94779,-0.84732,-1.34289,-0.78155,Used in Last Day,1,6
156,156,1043,35-44,M,7,UK,White,0.22393,-2.11437,-2.09015,-1.34289,-1.38502,Used in Last Day,1,6
159,159,1240,18-24,F,7,UK,White,-0.05188,0.16767,0.44585,-1.34289,0.41594,Used in Last Day,1,6
161,161,1299,35-44,F,7,USA,White,-2.05048,0.47617,0.58331,-1.34289,-0.52745,Used in Last Day,1,6
164,164,1516,18-24,M,5,USA,White,1.02119,-0.43999,-0.01928,-1.34289,-1.13788,Used in Last Day,1,6
166,166,1543,25-34,M,5,USA,White,0.82562,-3.00537,0.29338,-1.34289,-2.04506,Used in Last Day,1,6
172,172,51,35-44,M,8,UK,White,1.02119,-0.15487,-0.17779,-1.21213,-0.00665,Used in Last Day,1,6
175,175,145,45-54,M,6,Canada,White,0.13606,-1.09207,-0.45174,-1.21213,-0.00665,Used in Last Day,1,6
177,177,479,35-44,F,6,UK,White,1.49158,-0.69509,-0.71727,-1.21213,-1.25773,Used in Last Day,1,6
178,178,496,18-24,M,5,UK,White,0.73545,-1.6334,0.88309,-1.21213,-1.64101,Used in Last Day,1,6
179,179,544,35-44,M,3,UK,White,0.73545,0.80523,0.88309,-1.21213,-1.0145,Used in Last Day,1,6
186,186,727,18-24,M,6,UK,White,2.28554,-0.94779,0.7233,-1.21213,-0.52745,Used in Last Day,1,6
193,193,1134,25-34,M,8,New Zealand,White,0.62967,-0.69509,0.14143,-1.21213,-0.27607,Used in Last Day,1,6
199,199,1285,18-24,M,5,USA,White,1.98437,-0.94779,-0.01928,-1.21213,-1.25773,Used in Last Day,1,6
204,204,1526,18-24,M,2,Australia,White,0.82562,1.2861,0.29338,-1.21213,-0.89891,Used in Last Day,1,6
205,205,1528,18-24,M,5,USA,White,0.91093,0.00332,1.06238,-1.21213,-1.5184,Used in Last Day,1,6
206,206,1698,55-64,M,9,UK,White,-1.1943,0.00332,0.7233,-1.21213,1.13407,Used in Last Day,1,6
208,208,1774,25-34,F,8,USA,White,0.91093,0.63779,-0.45174,-1.21213,-0.78155,Used in Last Day,1,6
210,210,1811,18-24,M,7,USA,White,-0.58016,-1.23177,1.06238,-1.21213,0.93949,Used in Last Day,1,6
212,212,55,55-64,M,2,UK,White,0.04257,1.11406,-0.58331,-1.07533,-1.13788,Used in Last Day,1,6
213,213,121,25-34,F,8,UK,White,-1.05308,0.63779,-0.97631,-1.07533,0.7583,Used in Last Day,1,6
220,220,574,35-44,M,6,UK,White,1.23461,-1.23177,-1.68062,-1.07533,-0.65253,Used in Last Day,1,6
222,222,636,35-44,F,9,UK,White,1.23461,0.16767,-0.01928,-1.07533,-0.65253,Used in Last Day,1,6
224,224,809,18-24,F,5,USA,White,1.02119,0.80523,1.06238,-1.07533,-0.52745,Used in Last Day,1,6
225,225,827,18-24,M,7,USA,White,0.52135,0.63779,0.14143,-1.07533,1.30612,Used in Last Day,1,6
226,226,845,25-34,F,5,USA,White,0.52135,-0.43999,0.14143,-1.07533,-0.27607,Used in Last Day,1,6
227,227,850,18-24,M,4,USA,White,0.52135,0.63779,1.06238,-1.07533,-0.40581,Used in Last Day,1,6
229,229,896,25-34,F,3,UK,White,3.27393,-2.11437,-0.84732,-1.07533,-2.30408,Used in Last Day,1,6
230,230,906,35-44,F,7,USA,White,1.02119,-0.30033,1.06238,-1.07533,0.41594,Used in Last Day,1,6
232,232,973,25-34,M,5,Canada,White,0.41667,-1.6334,0.58331,-1.07533,0.93949,Used in Last Day,1,6
234,234,1025,18-24,M,5,USA,White,-0.67825,-0.30033,1.06238,-1.07533,-2.42317,Used in Last Day,1,6
240,240,1204,18-24,M,5,USA,White,-0.67825,0.80523,0.29338,-1.07533,-0.78155,Used in Last Day,1,6
251,251,1473,18-24,M,5,USA,White,-0.14882,0.47617,-0.17779,-1.07533,0.12331,Used in Last Day,1,6
252,252,1489,18-24,M,7,Australia,White,0.73545,0.00332,-0.17779,-1.07533,0.58489,Used in Last Day,1,6
254,254,1631,35-44,F,7,UK,White,-0.14882,0.47617,0.88309,-1.07533,-1.0145,Used in Last Day,1,6
256,256,1671,45-54,M,7,UK,White,0.62967,-0.80615,-1.82919,-1.07533,0.12331,Used in Last Day,1,6
263,263,1831,25-34,F,7,Australia,White,0.13606,-2.32338,0.29338,-1.07533,-0.89891,Used in Last Day,1,6
264,264,1866,45-54,M,1,USA,White,0.73545,-0.43999,0.44585,-1.07533,0.25953,Used in Last Day,1,6
266,266,1875,18-24,M,4,USA,White,1.02119,-0.43999,1.43533,-1.07533,0.12331,Used in Last Day,1,6
267,267,50,25-34,F,8,UK,Mixed-White/Black,0.82562,-0.57545,-1.97495,-0.91699,0.25953,Used in Last Day,1,6
280,280,275,35-44,M,8,UK,White,0.22393,0.96248,0.14143,-0.91699,0.58489,Used in Last Day,1,6
283,283,375,45-54,M,7,UK,White,-0.34799,-1.7625,0.7233,-0.91699,0.12331,Used in Last Day,1,6
285,285,438,45-54,M,2,UK,White,-1.43907,0.47617,0.29338,-0.91699,0.41594,Used in Last Day,1,6
288,288,569,18-24,M,7,UK,White,1.8399,0.63779,1.24033,-0.91699,-0.52745,Used in Last Day,1,6
289,289,571,35-44,F,9,UK,White,-0.34799,0.80523,-0.17779,-0.91699,2.63199,Used in Last Day,1,6
293,293,627,35-44,F,6,UK,White,-0.34799,-0.57545,-0.58331,-0.91699,0.25953,Used in Last Day,1,6
296,296,704,55-64,M,7,UK,White,-1.43907,0.80523,-0.17779,-0.91699,-0.14277,Used in Last Day,1,6
303,303,901,18-24,F,5,USA,White,1.8399,-0.94779,-0.97631,-0.91699,-1.0145,Used in Last Day,1,6
304,304,912,25-34,F,5,USA,Other,1.37297,0.47617,1.06238,-0.91699,-1.78169,Used in Last Day,1,6
305,305,983,18-24,M,5,UK,White,1.02119,1.11406,-1.11902,-0.91699,-1.0145,Used in Last Day,1,6
311,311,1119,18-24,M,5,USA,White,1.60383,-1.23177,-0.17779,-0.91699,-0.65253,Used in Last Day,1,6
314,314,1176,25-34,M,8,USA,White,0.31287,-0.80615,-0.01928,-0.91699,1.13407,Used in Last Day,1,6
316,316,1216,35-44,F,6,UK,White,0.73545,0.47617,-1.42424,-0.91699,0.12331,Used in Last Day,1,6
318,318,1258,25-34,F,8,UK,White,1.49158,-1.23177,-0.71727,-0.91699,-0.00665,Used in Last Day,1,6
320,320,1297,18-24,F,5,USA,White,-0.34799,0.47617,-0.17779,-0.91699,1.30612,Used in Last Day,1,6
328,328,1519,18-24,M,6,USA,White,0.04257,-1.6334,1.88511,-0.91699,0.12331,Used in Last Day,1,6
341,341,1848,18-24,F,7,USA,White,1.60383,-0.94779,1.24033,-0.91699,-1.38502,Used in Last Day,1,6
343,343,1880,25-34,M,5,Canada,Other,-0.14882,-0.57545,1.43533,-0.91699,-0.78155,Used in Last Day,1,6
345,345,27,55-64,F,4,Canada,White,-0.05188,-1.6334,-3.27393,-0.76096,0.58489,Used in Last Day,1,6
346,346,40,65+,F,6,UK,White,-0.24649,-0.94779,-1.11902,-0.76096,0.41594,Used in Last Day,1,6
352,352,184,18-24,F,7,UK,White,1.98437,-0.43999,0.29338,-0.76096,0.93949,Used in Last Day,1,6
354,354,229,45-54,M,8,UK,White,-0.67825,0.32197,-0.01928,-0.76096,-0.14277,Used in Last Day,1,6
358,358,304,55-64,F,6,UK,White,-0.14882,0.63779,-0.01928,-0.76096,-0.40581,Used in Last Day,1,6
359,359,396,25-34,M,6,UK,White,-1.43907,0.63779,-0.17779,-0.76096,1.81175,Used in Last Day,1,6
363,363,448,25-34,M,8,UK,White,0.04257,-0.15487,-0.84732,-0.76096,-1.13788,Used in Last Day,1,6
364,364,455,45-54,M,9,UK,White,-0.14882,-0.57545,0.88309,-0.76096,-0.27607,Used in Last Day,1,6
365,365,456,18-24,F,7,UK,White,0.82562,-0.80615,0.7233,-0.76096,-2.57309,Used in Last Day,1,6
372,372,545,25-34,F,7,UK,White,0.82562,0.63779,-0.97631,-0.76096,0.25953,Used in Last Day,1,6
378,378,768,25-34,M,8,New Zealand,White,0.82562,-0.69509,0.14143,-0.76096,-0.27607,Used in Last Day,1,6
380,380,835,45-54,F,9,USA,White,0.04257,0.16767,-0.01928,-0.76096,-0.78155,Used in Last Day,1,6
386,386,1013,25-34,M,5,USA,White,1.8399,-1.23177,0.44585,-0.76096,-1.38502,Used in Last Day,1,6
387,387,1041,18-24,M,5,USA,White,0.73545,-0.15487,0.58331,-0.76096,0.41594,Used in Last Day,1,6
388,388,1049,18-24,M,8,UK,White,-1.43907,2.57309,0.44585,-0.76096,0.58489,Used in Last Day,1,6
390,390,1169,18-24,M,4,USA,White,0.82562,-0.30033,1.43533,-0.76096,-1.0145,Used in Last Day,1,6
395,395,1294,25-34,F,8,USA,White,0.73545,2.127,1.24033,-0.76096,1.46191,Used in Last Day,1,6
397,397,1308,25-34,M,8,UK,White,-0.92104,-1.23177,-0.17779,-0.76096,0.12331,Used in Last Day,1,6
398,398,1338,18-24,F,7,UK,Black,0.13606,0.00332,-0.45174,-0.76096,0.7583,Used in Last Day,1,6
405,405,1565,35-44,F,7,UK,White,-0.05188,1.74091,-2.8595,-0.76096,2.63199,Used in Last Day,1,6
417,417,1871,18-24,F,5,USA,White,1.13281,-0.43999,0.29338,-0.76096,-0.14277,Used in Last Day,1,6
420,420,15,55-64,F,6,UK,White,-0.92104,1.45421,0.44585,-0.60633,1.63088,Used in Last Day,1,6
426,426,112,25-34,M,8,UK,White,0.31287,-1.09207,-0.84732,-0.60633,-0.65253,Used in Last Day,1,6
434,434,395,25-34,F,6,UK,White,-0.79151,-0.15487,-2.21069,-0.60633,1.46191,Used in Last Day,1,6
436,436,499,25-34,M,8,UK,White,0.04257,1.2861,2.90161,-0.60633,-0.00665,Used in Last Day,1,6
440,440,604,18-24,M,5,USA,White,1.98437,-0.94779,0.7233,-0.60633,-1.0145,Used in Last Day,1,6
446,446,678,25-34,M,7,UK,White,0.52135,-0.30033,0.44585,-0.60633,-0.65253,Used in Last Day,1,6
447,447,682,35-44,M,5,UK,White,-1.32828,0.00332,-1.27553,-0.60633,0.12331,Used in Last Day,1,6
449,449,705,35-44,M,5,USA,White,-0.79151,-0.30033,-0.58331,-0.60633,0.25953,Used in Last Day,1,6
453,453,730,25-34,F,2,Australia,White,-0.58016,0.32197,0.14143,-0.60633,0.12331,Used in Last Day,1,6
454,454,773,45-54,M,7,UK,White,1.23461,-1.37639,-0.45174,-0.60633,-1.78169,Used in Last Day,1,6
455,455,778,18-24,M,5,USA,Mixed-White/Asian,0.52135,0.63779,0.7233,-0.60633,-0.52745,Used in Last Day,1,6
460,460,864,18-24,M,7,UK,White,0.04257,-0.15487,-0.17779,-0.60633,-0.40581,Used in Last Day,1,6
464,464,904,25-34,F,8,USA,White,0.22393,-0.69509,0.29338,-0.60633,-1.13788,Used in Last Day,1,6
468,468,998,25-34,M,8,UK,White,1.13281,-0.30033,0.88309,-0.60633,0.93949,Used in Last Day,1,6
469,469,1034,18-24,M,5,USA,White,0.22393,-0.69509,0.14143,-0.60633,-0.27607,Used in Last Day,1,6
470,470,1035,18-24,F,5,UK,White,1.23461,-0.57545,0.44585,-0.60633,-1.0145,Used in Last Day,1,6
471,471,1056,25-34,M,2,UK,White,-0.79151,1.2861,1.65653,-0.60633,0.58489,Used in Last Day,1,6
473,473,1096,25-34,F,7,Australia,White,-1.43907,1.74091,-0.84732,-0.60633,0.58489,Used in Last Day,1,6
484,484,1339,35-44,M,6,Canada,White,0.13606,0.47617,0.29338,-0.60633,0.7583,Used in Last Day,1,6
487,487,1387,45-54,F,5,UK,White,-0.05188,-0.94779,1.06238,-0.60633,-0.27607,Used in Last Day,1,6
492,492,1422,25-34,M,5,USA,White,-0.14882,0.47617,0.7233,-0.60633,0.25953,Used in Last Day,1,6
493,493,1431,18-24,M,5,USA,White,-0.24649,1.45421,1.43533,-0.60633,-0.14277,Used in Last Day,1,6
497,497,1513,18-24,M,1,USA,White,2.28554,-0.69509,0.29338,-0.60633,-0.14277,Used in Last Day,1,6
502,502,1553,45-54,F,5,UK,White,-0.14882,-0.94779,-1.27553,-0.60633,0.41594,Used in Last Day,1,6
505,505,1589,35-44,M,2,UK,White,-1.32828,2.127,-0.58331,-0.60633,0.12331,Used in Last Day,1,6
512,512,1793,18-24,M,7,USA,White,0.62967,-1.50796,1.88511,-0.60633,3.00537,Used in Last Day,1,6
518,518,18,45-54,M,2,UK,White,0.52135,-1.23177,-0.31776,-0.45321,-1.38502,Used in Last Day,1,6
521,521,65,45-54,M,9,UK,White,-1.55078,0.47617,1.06238,-0.45321,0.93949,Used in Last Day,1,6
523,523,147,55-64,M,6,UK,White,0.22393,-1.23177,-0.17779,-0.45321,-0.27607,Used in Last Day,1,6
525,525,158,25-34,M,2,UK,White,-1.05308,1.11406,-1.82919,-0.45321,0.7583,Used in Last Day,1,6
526,526,166,45-54,M,8,UK,White,-0.24649,-0.30033,-0.31776,-0.45321,1.63088,Used in Last Day,1,6
530,530,226,35-44,F,7,UK,White,-1.32828,0.63779,0.88309,-0.45321,0.25953,Used in Last Day,1,6
531,531,232,65+,F,8,UK,White,0.13606,-1.09207,-0.45174,-0.45321,0.25953,Used in Last Day,1,6
533,533,268,35-44,M,6,UK,Black,-0.92104,1.45421,-1.27553,-0.45321,-0.00665,Used in Last Day,1,6
535,535,332,35-44,M,1,UK,White,-0.24649,-0.43999,-0.97631,-0.45321,0.58489,Used in Last Day,1,6
